name,country,lat,lon
Ahonglukumu,CN,39.1937,77.326
Akbulak,RU,51.002,55.6174
Sanmeng,CN,22.8912,102.4106
Yabebyry,PY,-27.3793,-57.1654
Canindé,BR,-4.3589,-39.3117
Almas,BR,-11.5681,-47.1703
Am Timan,TD,11.0537,20.4317
Курейка,RU,66.4669,87.1715
Gran Quivira,US,34.2637,-106.102
Pinamalayan,PH,13.0357,121.4884
Тахтоямск,RU,60.1973,154.6804
Suqiaoxiang,CN,28.586,116.9291
Húsavík,IS,66.0449,-17.3389
Zams,AT,47.1955,10.5458
Kolka,LV,57.75,22.5833
Murphy,US,43.2169,-116.5511
Tolimán,MX,20.9167,-99.9333
Jetpur,IN,22.35,73.8333
Mouila,GA,-1.8685,11.0559
Pozo Bertbeder,AR,-26.4099,-64.3371
Santa Fe,BR,-2.9093,-67.0568
Villa Ocampo,MX,26.4412,-105.5068
Nyarubanga,TZ,-4.2626,29.9659
Ruwan Rana,NG,12.2012,5.67
Imperatriz,BR,-5.5269,-47.4781
Filinga Sekenoma,NG,7.25,11.75
Seba Beach,CA,53.5501,-114.7354
Moro,US,45.484,-120.7312
DeRidder,US,30.8463,-93.289
Sunbury,US,40.8626,-76.7944
Tarniin amralt,MN,48.8175,106.7789
Ghoti Budrukh,IN,19.7167,73.6333
Mangueirinha,BR,-25.9411,-52.1756
战海乡,CN,41.3046,115.342
Burgdorf,US,45.2771,-115.9129
Lunga,MZ,-15.1794,40.5129
Gediya,NG,11.3473,8.9108
Akqi,CN,48.0559,86.4124
Nambya,CD,-8.1689,27.282
Jellico,US,36.5879,-84.1269
Jinxiang,CN,27.4327,120.6062
Androhipano,MG,-24.8787,44.05
Milloo,AU,-36.3167,144.3667
Tsetseg,MN,46.5908,93.2684
Brudzeń Duży,PL,52.6688,19.504
Mogok,MM,22.9167,96.5
Nova Zagora,BG,42.4833,26.0167
Mochishche,RU,55.1586,83.1229
Anita,US,45.9441,-108.0221
Łeba,PL,54.761,17.5555
Silay City,PH,10.8,122.9667
Atsimo-Andrefana Region,MG,-23.2,44.4
Chiloquin,US,42.5776,-121.8661
Várzea Bonita,BR,-15.2382,-45.1658
Döbra,NA,-22.3333,17.1
Shuangliao,CN,43.5147,123.5003
Bidadji,MR,15.1955,-10.6961
Uturoa,PF,-16.7333,-151.4333
Santa María,AR,-22.1538,-62.8088
Kalach,RU,58.5526,63.0249
Yaraka,AU,-24.8841,144.0745
Potrerillos,MX,23.455,-105.827
Freeport,BS,26.5333,-78.7
Tsaratanana,MG,-16.7965,47.6515
Akan,NG,8.2167,3.7167
Sacane,MZ,-16.8623,38.3807
Maunatlala,BW,-22.597,27.6301
La Magdalena,CO,6.1867,-74.5833
Усть-Алексеево,RU,60.4646,46.4937
Barela,IN,23.1,80.05
Атагай,KZ,46.7514,82.4121
Кировский,RU,45.8498,48.1214
Ed,SE,58.9126,11.934
Jaleshwar,IN,21.8167,87.2167
Boyao,CN,25.4208,107.6737
Takahata,JP,38.0025,140.1911
Sunnyvale,US,32.7965,-96.5608
Ejido Francisco R. Serrano,MX,31.3307,-115.5431
Nà Bài,VN,20.8786,104.9519
Теги,RU,64.3178,65.383
Rechaïga,DZ,35.269,1.8633
Hvammstangi,IS,65.397,-20.944
Karakalpakstan,UZ,44.2164,58.8299
Doylestown,US,40.1976,-77.7214
Dayville,US,44.4682,-119.5358
El Tesoro,UY,-34.9011,-54.8684
Las Breñas,AR,-27.0897,-61.0816
Departamento de Aluminé,AR,-39.1667,-71
Qaisumah,SA,28.3097,46.1275
Savaro,SO,0.9185,43.6164
Kālikot,NP,29.0955,81.6843
Jiaoyuan,CN,27.7688,105.9962
Carey,US,43.3077,-113.9448
Anguay,CL,-42.0482,-73.9251
Krajan,ID,-8.0775,113.238
Claviere,IT,44.9397,6.753
Ramadane,CF,7.0601,19.942
Naserabad,IR,36.1247,50.3587
Ivorá,BR,-29.5197,-53.5805
Bentiaba,AO,-14.2589,12.3914
Service Kollo,CF,6.2766,15.3001
Tudian,CN,30.5804,120.6139
Egbe,NG,8.2167,5.5167
Dalil Babikir,SD,11.8472,26.6698
Carbondale,US,38.4088,-121.0069
Baisha,CN,21.8692,111.8861
Vân Canh,VN,13.6209,108.9984
Cochinoca,AR,-22.7449,-65.896
Renhe,CN,26.4649,101.0158
Santo Hilario,BR,-2.3504,-56.0248
Ostrów,PL,50.0163,20.8827
Kazembe,MW,-12.6498,33.7006
El Faouar الفوار,TN,33.3606,8.6753
Майский,RU,56.0632,86.4483
Tapung Lestari,ID,0.7689,101.2087
Solano,CO,0.6994,-75.2535
Leyva Solano,MX,25.6667,-108.6417
Thunder Beach,CA,44.7966,-80.063
Standard,US,64.7808,-148.5297
Nemoto,JP,34.9,139.8333
Espirito Santo,BR,-2.9545,-69.1392
Kolosovka,RU,56.4678,73.611
Kotido,UG,2.9806,34.1331
Воскресеновка,RU,51.0227,129.3003
Kushk,AF,33.2957,61.9522
Evciler,TR,38.0406,29.8846
Đồng Phú,VN,15.6791,108.2363
Umirim,BR,-3.6772,-39.3503
Longmen,CN,20.6958,110.0191
Sal-Kudhooble,SO,4.9095,43.9918
San Salvo,IT,42.0433,14.7272
Bartoszyce,PL,54.2535,20.8082
Al Balyanā,EG,26.2357,32.0035
La Colmena,PY,-25.8833,-56.8167
Роман,RU,68.4871,155.1176
Xiaojiahe,CN,47.2101,133.731
Tippah County,US,34.7765,-88.9265
Pingchuan District,CN,36.7253,104.8172
Lusitu,ZM,-16.1789,28.7512
Sultanate of Oman,OM,21,57
Ugtaaltsaidam,MN,48.2612,105.4261
Maychew,ET,12.7842,39.5404
Jalur Mulya,ID,-2.4334,105.2585
莫高窟,CN,40.0437,94.8094
Colia,GN,10.4113,-14.0485
Wuxing,CN,28.4082,105.1405
Cegrane,MK,41.8389,20.9758
Republic of Botswana,BW,-22,24
Rolla,US,37.12,-101.6321
Tjide,MR,16.5674,-14.2224
Ouélakatogola,CI,7.8546,-6.6822
Жайрем,KZ,48.3357,70.161
Khum Prey Tralach,KH,12.5644,103.5215
Maunawili,US,21.3728,-157.7706
Temirtau,KZ,50.0544,72.9483
Al Baaith,SA,26.0333,41.8
Eldivan,TR,40.5307,33.4966
São Jerônimo,BR,-29.9592,-51.7222
Beaverlodge,CA,55.2166,-119.4361
Mayfield,US,36.7417,-88.6367
Irrmarne,AU,-21.6529,136.3948
Omega,NA,-18.0288,22.1999
Romba,ID,-8.9039,121.2961
Tia Mare,RO,43.8667,24.6333
Elk Park,US,36.1573,-81.9782
Shumikha,RU,55.2282,63.2825
Kouandé,BJ,10.3322,1.692
Chiripa,BO,-10.5032,-66.0656
Akula,CD,2.3754,20.1842
Benevides,BR,-1.3614,-48.2447
Mỏ Nhài,VN,21.8387,106.3522
Слободка,RU,53.0518,38.8697
Allenford,CA,44.5501,-81.1664
Kudahuvadhoo,MV,2.6708,72.8944
Kaydalovo,RU,51.6357,114.5745
Khoonkhwuttunne (historical),US,41.9484,-124.2031
Chojna,BO,-17.1252,-68.7109
Bjørnevatn,NO,69.6664,29.9861
Preguiça,CV,16.75,-22.95
Punta Lomitas,PE,-14.7122,-75.8487
Kotovo,RU,50.3211,44.8012
Ийи-Тал,RU,51.5657,93.3371
Buller District,NZ,-41.6493,172.009
Arrondissement de Châtellerault,FR,46.8333,0.3333
Goose Bay,NZ,-42.4778,173.528
Pio IX,BR,-6.8347,-40.6132
Xizhelimu,CN,45.5524,120.5897
Jussiape,BR,-13.5177,-41.5919
Danville,US,40.1245,-87.63
Lourdes,BR,-18.6379,-56.756
Victoria,CL,-38.234,-72.3315
Nuevo Paysandú,UY,-32.2702,-58.0838
Lamlash,GB,55.5336,-5.1296
Vinton,US,31.9512,-106.6025
Bunia,CD,1.5667,30.25
Barjouville,FR,48.41,1.4764
Hagerman,US,33.1151,-104.3269
Eureka Roadhouse,US,61.9381,-147.1679
Kochpon,RU,61.6373,50.8682
Indergarh,IN,26.9352,79.6724
Winona,US,39.0633,-101.2443
Kaita,NG,13.0844,7.741
Fox Bay,CA,49.2667,-61.85
Кузивансикт,RU,60.9475,50.2315
Villa Reynolds,AR,-33.7209,-65.3801
Changluo,CN,25.8039,115.1823
Welbourne Hill,AU,-27.3557,134.0831
Nicollet,US,44.2761,-94.1875
Pinaveta,US,35.2272,-112.573
Changjiang,CN,49.6782,125.5748
Pulau Palas,ID,-0.4334,103.0337
Smidovich,RU,48.5957,133.8138
Красная Грива,RU,54.7687,79.9415
Umuka,NG,6.0144,7.8835
Kocobakon,ID,-4.7012,140.6347
Katungulu,TZ,-2.5088,32.6784
Baltimore,ZA,-23.2666,28.4428
Zacualpan,MX,21.25,-105.1667
Preston,US,33.8823,-96.633
Carmópolis,BR,-10.6481,-36.9889
Kum-Rabad,UZ,39.8,64.4833
Metpalli,IN,18.8488,78.6259
Angical,BR,-12.0056,-44.7
Jiangcheng,CN,22.5869,101.8616
Madoi,CN,35.025,96.3734
